iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
11400   | unicode2000        | 61   | 11400  | 11400 | 49.99    | 49.96   | 1.000   | 1.000  | 0.8532   | 0.1817  | 128.00   | 128.03  | 98.54     | 98.50    | 99.84      | 99.74     | 98.27     | 98.73    | SHA256 
11500   | unicode40000       | 63   | 11500  | 11500 | 49.99    | 49.96   | 1.000   | 1.000  | 0.8868   | 0.1687  | 127.99   | 128.03  | 98.54     | 98.51    | 99.85      | 99.74     | 98.05     | 98.82    | SHA256 
11600   | unicode500         | 63   | 11600  | 11600 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9232   | 0.1599  | 128.00   | 128.01  | 98.55     | 98.52    | 99.85      | 99.75     | 97.76     | 98.97    | SHA256 
11700   | unicode30000       | 62   | 11700  | 11700 | 50.00    | 49.96   | 1.000   | 1.000  | 0.8361   | 0.1185  | 128.00   | 128.01  | 98.56     | 98.52    | 99.85      | 99.75     | 98.76     | 98.11    | SHEP32 
11800   | unicode500         | 8    | 11800  | 11800 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9330   | 0.1332  | 128.00   | 128.01  | 98.56     | 98.52    | 99.85      | 99.75     | 97.80     | 98.82    | SHA256 
11900   | unicode2000        | 95   | 11900  | 11900 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9306   | 0.1388  | 128.00   | 128.01  | 98.56     | 98.53    | 99.86      | 99.76     | 97.79     | 98.85    | SHA256 
12000   | unicode2000        | 41   | 12000  | 12000 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9037   | 0.1368  | 127.99   | 128.01  | 98.57     | 98.54    | 99.86      | 99.77     | 98.06     | 98.67    | SHA256 
12100   | unicode2000        | 86   | 12100  | 12100 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9266   | 0.1245  | 128.00   | 128.01  | 98.58     | 98.54    | 99.87      | 99.76     | 97.91     | 98.71    | SHA256 
12200   | unicode400000      | 10   | 12200  | 12200 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9594   | 0.1018  | 128.01   | 128.01  | 98.59     | 98.55    | 99.87      | 99.76     | 97.71     | 98.72    | SHA256 
12300   | unicode500000      | 48   | 12300  | 12300 | 49.99    | 49.96   | 1.000   | 1.000  | 0.9793   | 0.0641  | 128.01   | 128.02  | 98.59     | 98.55    | 99.86      | 99.75     | 97.73     | 98.50    | SHA256 
12400   | A-Z                | 67   | 12400  | 12400 | 49.99    | 49.95   | 1.000   | 1.000  | 0.9857   | 0.0787  | 128.01   | 128.01  | 98.60     | 98.56    | 99.86      | 99.75     | 97.57     | 98.69    | SHA256 
12500   | unicode500000      | 33   | 12500  | 12500 | 50.00    | 49.95   | 1.000   | 1.000  | 0.8703   | 0.0984  | 128.00   | 128.01  | 98.61     | 98.56    | 99.86      | 99.75     | 98.60     | 98.12    | SHEP32 
12600   | unicode70000       | 44   | 12600  | 12600 | 49.99    | 49.95   | 1.000   | 1.000  | 0.8056   | 0.1207  | 127.99   | 128.02  | 98.61     | 98.57    | 99.85      | 99.76     | 98.98     | 97.98    | SHEP32 
12700   | unicode10000       | 27   | 12700  | 12700 | 49.99    | 49.95   | 1.000   | 1.000  | 0.8366   | 0.1106  | 128.00   | 128.02  | 98.62     | 98.58    | 99.86      | 99.76     | 98.81     | 98.05    | SHEP32 
12800   | unicode100000      | 54   | 12800  | 12800 | 49.99    | 49.95   | 1.000   | 1.000  | 0.8243   | 0.1083  | 128.00   | 128.00  | 98.63     | 98.58    | 99.87      | 99.76     | 98.92     | 97.96    | SHEP32 
12900   | a-z                | 35   | 12900  | 12900 | 49.99    | 49.96   | 1.000   | 1.000  | 0.8267   | 0.1067  | 127.99   | 127.99  | 98.64     | 98.59    | 99.87      | 99.76     | 98.91     | 97.96    | SHEP32 
13000   | a-z                | 97   | 13000  | 13000 | 49.99    | 49.96   | 1.000   | 1.000  | 0.7365   | 0.1510  | 127.98   | 128.00  | 98.65     | 98.59    | 99.85      | 99.77     | 99.24     | 97.96    | SHEP32 
13100   | unicode100         | 49   | 13100  | 13100 | 49.99    | 49.96   | 1.000   | 1.000  | 0.7317   | 0.1596  | 127.99   | 127.98  | 98.65     | 98.59    | 99.85      | 99.78     | 99.22     | 98.01    | SHEP32 
13200   | a-z                | 82   | 13200  | 13200 | 49.99    | 49.96   | 1.000   | 1.000  | 0.5526   | 0.1548  | 127.99   | 127.98  | 98.65     | 98.60    | 99.85      | 99.78     | 99.50     | 97.64    | SHEP32 
13300   | unicode100         | 79   | 13300  | 13300 | 49.98    | 49.95   | 1.000   | 1.000  | 0.6695   | 0.1567  | 127.98   | 127.97  | 98.66     | 98.61    | 99.85      | 99.78     | 99.50     | 97.82    | SHEP32 
13400   | unicode50000       | 8    | 13400  | 13400 | 49.98    | 49.95   | 1.000   | 1.000  | 0.6341   | 0.1945  | 127.98   | 127.97  | 98.67     | 98.61    | 99.85      | 99.79     | 99.46     | 98.01    | SHEP32 
13500   | a-zA-Z0-9          | 80   | 13500  | 13500 | 49.98    | 49.95   | 1.000   | 1.000  | 0.6201   | 0.1838  | 127.98   | 127.97  | 98.67     | 98.62    | 99.85      | 99.79     | 99.50     | 97.91    | SHEP32 
13600   | unicode80000       | 95   | 13600  | 13600 | 49.98    | 49.95   | 1.000   | 1.000  | 0.6267   | 0.1901  | 127.97   | 127.97  | 98.68     | 98.62    | 99.85      | 99.79     | 99.50     | 97.96    | SHEP32 
13700   | unicode500000      | 55   | 13700  | 13700 | 49.98    | 49.95   | 1.000   | 1.000  | 0.6363   | 0.1867  | 127.98   | 127.98  | 98.69     | 98.62    | 99.87      | 99.79     | 99.49     | 97.96    | SHEP32 
13800   | unicode5000        | 8    | 13800  | 13800 | 49.98    | 49.96   | 1.000   | 1.000  | 0.7122   | 0.1638  | 127.97   | 127.98  | 98.70     | 98.62    | 99.86      | 99.79     | 99.30     | 97.98    | SHEP32 
13900   | unicode100         | 65   | 13900  | 13900 | 49.98    | 49.96   | 1.000   | 1.000  | 0.6942   | 0.2037  | 127.97   | 127.98  | 98.70     | 98.63    | 99.87      | 99.79     | 99.20     | 98.21    | SHEP32 
14000   | A-Za-z             | 99   | 14000  | 14000 | 49.98    | 49.96   | 1.000   | 1.000  | 0.6992   | 0.1994  | 127.97   | 127.98  | 98.71     | 98.63    | 99.87      | 99.80     | 99.20     | 98.19    | SHEP32 
14100   | 0-9                | 69   | 14100  | 14100 | 49.98    | 49.96   | 1.000   | 1.000  | 0.6617   | 0.2028  | 127.97   | 127.97  | 98.71     | 98.64    | 99.87      | 99.81     | 99.33     | 98.12    | SHEP32 
14200   | unicode500000      | 70   | 14200  | 14200 | 49.98    | 49.96   | 1.000   | 1.000  | 0.5564   | 0.2029  | 127.98   | 127.97  | 98.71     | 98.64    | 99.87      | 99.80     | 99.50     | 97.96    | SHEP32 
14300   | unicode300000      | 6    | 14300  | 14300 | 49.98    | 49.96   | 1.000   | 1.000  | 0.5431   | 0.2183  | 127.97   | 127.96  | 98.72     | 98.66    | 99.87      | 99.81     | 99.50     | 98.05    | SHEP32 
14400   | unicode500         | 49   | 14400  | 14400 | 49.98    | 49.96   | 1.000   | 1.000  | 0.5598   | 0.2179  | 127.98   | 127.97  | 98.72     | 98.66    | 99.87      | 99.80     | 99.50     | 98.06    | SHEP32 
14500   | unicode10000       | 6    | 14500  | 14500 | 49.98    | 49.96   | 1.000   | 1.000  | 0.4309   | 0.2223  | 127.98   | 127.97  | 98.71     | 98.67    | 99.87      | 99.81     | 99.49     | 98.09    | SHEP32 
14600   | unicode500         | 81   | 14600  | 14600 | 49.99    | 49.96   | 1.000   | 1.000  | 0.3815   | 0.1939  | 127.98   | 127.96  | 98.72     | 98.67    | 99.86      | 99.81     | 99.50     | 97.98    | SHEP32 
14700   | unicode400000      | 75   | 14700  | 14700 | 49.98    | 49.96   | 1.000   | 1.000  | 0.3440   | 0.2126  | 127.97   | 127.97  | 98.72     | 98.67    | 99.86      | 99.82     | 99.31     | 98.17    | SHEP32 
14800   | unicode400000      | 53   | 14800  | 14800 | 49.99    | 49.96   | 1.000   | 1.000  | 0.2895   | 0.2078  | 127.97   | 127.96  | 98.73     | 98.68    | 99.86      | 99.82     | 99.10     | 98.29    | SHEP32 
14900   | 0-9                | 5    | 14900  | 14900 | 49.98    | 49.96   | 1.000   | 1.000  | 0.2959   | 0.2727  | 127.98   | 127.96  | 98.73     | 98.68    | 99.86      | 99.83     | 98.87     | 98.67    | SHEP32 
15000   | unicode60000       | 7    | 15000  | 15000 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3273   | 0.2698  | 127.98   | 127.95  | 98.74     | 98.69    | 99.86      | 99.82     | 99.02     | 98.56    | SHEP32 
15100   | unicode30000       | 40   | 15100  | 15100 | 49.98    | 49.97   | 1.000   | 1.000  | 0.2828   | 0.2653  | 127.97   | 127.95  | 98.75     | 98.69    | 99.87      | 99.82     | 98.84     | 98.67    | SHEP32 
15200   | unicode60000       | 56   | 15200  | 15200 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3427   | 0.2420  | 127.97   | 127.95  | 98.75     | 98.69    | 99.87      | 99.82     | 99.19     | 98.36    | SHEP32 
15300   | unicode500000      | 83   | 15300  | 15300 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3500   | 0.2534  | 127.97   | 127.96  | 98.75     | 98.70    | 99.87      | 99.82     | 99.17     | 98.41    | SHEP32 
15400   | unicode2000        | 94   | 15400  | 15400 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3663   | 0.2176  | 127.96   | 127.95  | 98.76     | 98.70    | 99.87      | 99.82     | 99.37     | 98.16    | SHEP32 
15500   | a-z                | 27   | 15500  | 15500 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3165   | 0.2401  | 127.96   | 127.96  | 98.76     | 98.71    | 99.87      | 99.82     | 99.09     | 98.42    | SHEP32 
15600   | unicode500000      | 24   | 15600  | 15600 | 49.98    | 49.97   | 1.000   | 1.000  | 0.3775   | 0.2739  | 127.96   | 127.96  | 98.77     | 98.72    | 99.87      | 99.83     | 99.18     | 98.47    | SHEP32 
15700   | unicode100         | 20   | 15700  | 15700 | 49.98    | 49.97   | 1.000   | 1.000  | 0.4396   | 0.2355  | 127.96   | 127.97  | 98.77     | 98.72    | 99.87      | 99.83     | 99.45     | 98.17    | SHEP32 
15800   | unicode90000       | 81   | 15800  | 15800 | 49.98    | 49.97   | 1.000   | 1.000  | 0.4632   | 0.3156  | 127.96   | 127.97  | 98.78     | 98.72    | 99.87      | 99.83     | 99.21     | 98.56    | SHEP32 
15900   | unicode500000      | 14   | 15900  | 15900 | 49.99    | 49.97   | 1.000   | 1.000  | 0.4651   | 0.2698  | 127.95   | 127.96  | 98.78     | 98.72    | 99.88      | 99.83     | 99.36     | 98.34    | SHEP32 
16000   | unicode500000      | 84   | 16000  | 16000 | 49.98    | 49.97   | 1.000   | 1.000  | 0.5266   | 0.2359  | 127.95   | 127.97  | 98.79     | 98.73    | 99.88      | 99.83     | 99.49     | 98.15    | SHEP32 
16100   | a-z                | 41   | 16100  | 16100 | 49.99    | 49.97   | 1.000   | 1.000  | 0.5759   | 0.2195  | 127.96   | 127.97  | 98.79     | 98.73    | 99.88      | 99.83     | 99.49     | 98.09    | SHEP32 
16200   | unicode10000       | 21   | 16200  | 16200 | 49.99    | 49.97   | 1.000   | 1.000  | 0.5037   | 0.2895  | 127.96   | 127.96  | 98.80     | 98.74    | 99.88      | 99.83     | 99.31     | 98.43    | SHEP32 
16300   | unicode40000       | 96   | 16300  | 16300 | 49.98    | 49.97   | 1.000   | 1.000  | 0.4635   | 0.3135  | 127.96   | 127.96  | 98.80     | 98.74    | 99.87      | 99.84     | 99.22     | 98.55    | SHEP32 
16400   | a-zA-Z0-9          | 52   | 16400  | 16400 | 49.98    | 49.97   | 1.000   | 1.000  | 0.4472   | 0.3551  | 127.96   | 127.96  | 98.80     | 98.74    | 99.87      | 99.84     | 99.10     | 98.72    | SHEP32 
16500   | unicode100         | 52   | 16500  | 16500 | 49.98    | 49.98   | 1.000   | 1.000  | 0.4335   | 0.3947  | 127.96   | 127.95  | 98.81     | 98.74    | 99.87      | 99.85     | 99.00     | 98.85    | SHEP32 
16600   | unicode40000       | 75   | 16600  | 16600 | 49.98    | 49.98   | 1.000   | 1.000  | 0.3748   | 0.3849  | 127.96   | 127.95  | 98.81     | 98.75    | 99.87      | 99.85     | 98.88     | 98.92    | SHA256 
16700   | A-Za-z             | 61   | 16700  | 16700 | 49.99    | 49.98   | 1.000   | 1.000  | 0.4547   | 0.4392  | 127.96   | 127.95  | 98.82     | 98.75    | 99.87      | 99.85     | 98.97     | 98.92    | SHEP32 
16800   | unicode50000       | 54   | 16800  | 16800 | 49.98    | 49.98   | 1.000   | 1.000  | 0.4661   | 0.4434  | 127.96   | 127.94  | 98.82     | 98.75    | 99.87      | 99.85     | 98.98     | 98.92    | SHEP32 
16900   | A-Z                | 22   | 16900  | 16900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4750   | 0.4621  | 127.96   | 127.94  | 98.83     | 98.76    | 99.87      | 99.85     | 98.97     | 98.94    | SHEP32 
17000   | unicode300000      | 61   | 17000  | 17000 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4207   | 0.4943  | 127.96   | 127.95  | 98.83     | 98.76    | 99.86      | 99.86     | 98.89     | 99.00    | SHA256 
17100   | unicode1000        | 60   | 17100  | 17100 | 49.98    | 49.99   | 1.000   | 1.000  | 0.3746   | 0.5325  | 127.96   | 127.95  | 98.83     | 98.77    | 99.86      | 99.86     | 98.78     | 99.06    | SHA256 
17200   | unicode300000      | 76   | 17200  | 17200 | 49.98    | 49.99   | 1.000   | 1.000  | 0.3699   | 0.4527  | 127.96   | 127.96  | 98.83     | 98.77    | 99.85      | 99.86     | 98.78     | 99.06    | SHA256 
17300   | a-z                | 67   | 17300  | 17300 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3235   | 0.4111  | 127.97   | 127.96  | 98.82     | 98.78    | 99.86      | 99.86     | 98.66     | 99.11    | SHA256 
17400   | unicode80000       | 75   | 17400  | 17400 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2921   | 0.4184  | 127.97   | 127.96  | 98.82     | 98.78    | 99.86      | 99.87     | 98.50     | 99.21    | SHA256 
17500   | unicode80000       | 92   | 17500  | 17500 | 49.98    | 49.99   | 1.000   | 1.000  | 0.2637   | 0.3760  | 127.96   | 127.96  | 98.83     | 98.78    | 99.86      | 99.87     | 98.42     | 99.21    | SHA256 
17600   | a-z                | 44   | 17600  | 17600 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3103   | 0.3642  | 127.95   | 127.96  | 98.84     | 98.78    | 99.86      | 99.86     | 98.68     | 99.02    | SHA256 
17700   | unicode60000       | 5    | 17700  | 17700 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2889   | 0.4057  | 127.96   | 127.96  | 98.83     | 98.78    | 99.86      | 99.86     | 98.51     | 99.20    | SHA256 
17800   | unicode10000       | 45   | 17800  | 17800 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3050   | 0.4286  | 127.96   | 127.96  | 98.84     | 98.78    | 99.87      | 99.86     | 98.55     | 99.19    | SHA256 
17900   | unicode10000       | 38   | 17900  | 17900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3609   | 0.4041  | 127.96   | 127.97  | 98.84     | 98.78    | 99.86      | 99.86     | 98.81     | 99.00    | SHA256 
18000   | unicode90000       | 75   | 18000  | 18000 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4527   | 0.4339  | 127.97   | 127.96  | 98.85     | 98.79    | 99.86      | 99.86     | 98.97     | 98.92    | SHEP32 
18100   | unicode400000      | 96   | 18100  | 18100 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4313   | 0.4439  | 127.97   | 127.96  | 98.85     | 98.79    | 99.86      | 99.87     | 98.93     | 98.95    | SHA256 
18200   | unicode50000       | 41   | 18200  | 18200 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3788   | 0.5263  | 127.97   | 127.96  | 98.85     | 98.80    | 99.86      | 99.86     | 98.79     | 99.06    | SHA256 
18300   | A-Za-z             | 48   | 18300  | 18300 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3474   | 0.5642  | 127.97   | 127.96  | 98.86     | 98.79    | 99.85      | 99.87     | 98.72     | 99.09    | SHA256 
18400   | unicode5000        | 58   | 18400  | 18400 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2851   | 0.5059  | 127.97   | 127.96  | 98.85     | 98.79    | 99.86      | 99.87     | 98.42     | 99.31    | SHA256 
18500   | unicode100         | 21   | 18500  | 18500 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2311   | 0.5165  | 127.97   | 127.96  | 98.85     | 98.80    | 99.85      | 99.87     | 98.13     | 99.50    | SHA256 
18600   | 0-9                | 24   | 18600  | 18600 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2034   | 0.5170  | 127.96   | 127.96  | 98.85     | 98.80    | 99.86      | 99.87     | 97.96     | 99.50    | SHA256 
18700   | unicode1000        | 31   | 18700  | 18700 | 49.99    | 49.99   | 1.000   | 1.000  | 0.1931   | 0.5537  | 127.96   | 127.96  | 98.85     | 98.81    | 99.87      | 99.87     | 97.91     | 99.50    | SHA256 
18800   | a-z                | 17   | 18800  | 18800 | 49.99    | 49.99   | 1.000   | 1.000  | 0.1890   | 0.6219  | 127.95   | 127.96  | 98.86     | 98.81    | 99.87      | 99.87     | 97.96     | 99.50    | SHA256 
18900   | unicode10000       | 61   | 18900  | 18900 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2146   | 0.6678  | 127.95   | 127.96  | 98.86     | 98.81    | 99.87      | 99.87     | 98.23     | 99.26    | SHA256 
19000   | unicode100000      | 8    | 19000  | 19000 | 49.99    | 50.00   | 1.000   | 1.000  | 0.1901   | 0.5733  | 127.95   | 127.96  | 98.86     | 98.82    | 99.86      | 99.86     | 97.91     | 99.50    | SHA256 
19100   | unicode80000       | 54   | 19100  | 19100 | 49.98    | 50.00   | 1.000   | 1.000  | 0.2157   | 0.6767  | 127.94   | 127.96  | 98.86     | 98.82    | 99.86      | 99.86     | 98.26     | 99.22    | SHA256 
19200   | unicode500000      | 80   | 19200  | 19200 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2220   | 0.6422  | 127.93   | 127.96  | 98.87     | 98.82    | 99.86      | 99.86     | 98.22     | 99.32    | SHA256 
19300   | unicode60000       | 73   | 19300  | 19300 | 49.98    | 50.00   | 1.000   | 1.000  | 0.1970   | 0.7658  | 127.93   | 127.97  | 98.86     | 98.82    | 99.85      | 99.87     | 98.43     | 98.84    | SHA256 
19400   | unicode20000       | 28   | 19400  | 19400 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2143   | 0.8351  | 127.93   | 127.96  | 98.86     | 98.83    | 99.85      | 99.87     | 98.88     | 98.27    | SHEP32 
19500   | unicode10000       | 44   | 19500  | 19500 | 49.99    | 50.00   | 1.000   | 1.000  | 0.1962   | 0.8090  | 127.93   | 127.96  | 98.86     | 98.83    | 99.85      | 99.87     | 98.62     | 98.55    | SHEP32 
19600   | unicode90000       | 9    | 19600  | 19600 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2049   | 0.8081  | 127.93   | 127.96  | 98.87     | 98.83    | 99.84      | 99.87     | 98.68     | 98.52    | SHEP32 
19700   | a-zA-Z0-9          | 81   | 19700  | 19700 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2191   | 0.8663  | 127.93   | 127.96  | 98.87     | 98.83    | 99.85      | 99.87     | 99.08     | 98.00    | SHEP32 
19800   | unicode500000      | 98   | 19800  | 19800 | 49.99    | 50.00   | 1.000   | 1.000  | 0.2233   | 0.8270  | 127.93   | 127.96  | 98.88     | 98.84    | 99.84      | 99.87     | 98.90     | 98.29    | SHEP32 
19900   | unicode5000        | 17   | 19900  | 19900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2296   | 0.8733  | 127.94   | 127.96  | 98.88     | 98.84    | 99.84      | 99.87     | 99.18     | 97.90    | SHEP32 
20000   | unicode400000      | 99   | 20000  | 20000 | 50.00    | 50.00   | 1.000   | 1.000  | 0.2466   | 0.8889  | 127.94   | 127.96  | 98.88     | 98.85    | 99.84      | 99.87     | 99.36     | 97.71    | SHEP32 
20100   | unicode1000        | 50   | 20100  | 20100 | 50.00    | 50.00   | 1.000   | 1.000  | 0.2670   | 0.9866  | 127.94   | 127.96  | 98.89     | 98.85    | 99.84      | 99.87     | 99.50     | 96.88    | SHEP32 
20200   | a-z                | 14   | 20200  | 20200 | 50.00    | 49.99   | 1.000   | 1.000  | 0.2464   | 0.9293  | 127.93   | 127.96  | 98.89     | 98.86    | 99.84      | 99.87     | 99.50     | 97.38    | SHEP32 
20300   | unicode100000      | 59   | 20300  | 20300 | 50.00    | 49.99   | 1.000   | 1.000  | 0.2151   | 0.9671  | 127.94   | 127.96  | 98.89     | 98.86    | 99.85      | 99.88     | 99.50     | 97.15    | SHEP32 
20400   | 0-9                | 79   | 20400  | 20400 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2371   | 0.9651  | 127.94   | 127.96  | 98.90     | 98.86    | 99.84      | 99.88     | 99.50     | 97.11    | SHEP32 
20500   | unicode40000       | 8    | 20500  | 20500 | 49.99    | 49.99   | 1.000   | 1.000  | 0.2964   | 0.9708  | 127.95   | 127.97  | 98.90     | 98.87    | 99.84      | 99.88     | 99.50     | 96.95    | SHEP32 
20600   | unicode10000       | 37   | 20600  | 20600 | 50.00    | 49.99   | 1.000   | 1.000  | 0.3389   | 0.9910  | 127.95   | 127.97  | 98.90     | 98.87    | 99.85      | 99.88     | 99.50     | 96.77    | SHEP32 
20700   | unicode70000       | 85   | 20700  | 20700 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3297   | 0.9542  | 127.96   | 127.97  | 98.90     | 98.87    | 99.85      | 99.88     | 99.50     | 97.03    | SHEP32 
20800   | unicode20000       | 10   | 20800  | 20800 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3352   | 0.9731  | 127.96   | 127.98  | 98.91     | 98.88    | 99.85      | 99.88     | 99.50     | 96.89    | SHEP32 
20900   | unicode500000      | 51   | 20900  | 20900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3581   | 0.9978  | 127.96   | 127.98  | 98.91     | 98.88    | 99.85      | 99.88     | 99.50     | 96.71    | SHEP32 
21000   | unicode200000      | 48   | 21000  | 21000 | 49.99    | 49.99   | 1.000   | 1.000  | 0.3865   | 0.9690  | 127.95   | 127.97  | 98.91     | 98.88    | 99.84      | 99.88     | 99.50     | 96.88    | SHEP32 
21100   | unicode10000       | 98   | 21100  | 21100 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4703   | 0.9691  | 127.95   | 127.97  | 98.91     | 98.88    | 99.84      | 99.88     | 99.50     | 96.84    | SHEP32 
21200   | unicode80000       | 73   | 21200  | 21200 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4075   | 0.9746  | 127.96   | 127.97  | 98.92     | 98.88    | 99.84      | 99.88     | 99.50     | 96.83    | SHEP32 
21300   | unicode300000      | 70   | 21300  | 21300 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4213   | 0.9904  | 127.95   | 127.97  | 98.92     | 98.89    | 99.84      | 99.88     | 99.50     | 96.73    | SHEP32 
21400   | unicode1000        | 72   | 21400  | 21400 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4379   | 0.9218  | 127.95   | 127.97  | 98.92     | 98.88    | 99.85      | 99.88     | 99.50     | 97.15    | SHEP32 
21500   | unicode5000        | 74   | 21500  | 21500 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4835   | 0.9993  | 127.94   | 127.97  | 98.92     | 98.88    | 99.85      | 99.89     | 99.50     | 96.67    | SHEP32 
21600   | 0-9                | 83   | 21600  | 21600 | 49.99    | 50.00   | 1.000   | 1.000  | 0.5099   | 0.9661  | 127.94   | 127.97  | 98.92     | 98.88    | 99.85      | 99.89     | 99.50     | 96.86    | SHEP32 
21700   | A-Za-z             | 80   | 21700  | 21700 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4512   | 0.9472  | 127.94   | 127.97  | 98.92     | 98.88    | 99.85      | 99.89     | 99.50     | 96.98    | SHEP32 
21800   | unicode30000       | 18   | 21800  | 21800 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4739   | 0.8549  | 127.95   | 127.97  | 98.92     | 98.88    | 99.86      | 99.89     | 99.50     | 97.58    | SHEP32 
21900   | A-Z                | 20   | 21900  | 21900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.4828   | 0.8965  | 127.94   | 127.97  | 98.92     | 98.88    | 99.86      | 99.89     | 99.50     | 97.30    | SHEP32 
22000   | unicode200000      | 32   | 22000  | 22000 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4347   | 0.9074  | 127.94   | 127.97  | 98.93     | 98.88    | 99.85      | 99.89     | 99.50     | 97.25    | SHEP32 
22100   | unicode100         | 57   | 22100  | 22100 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4367   | 0.8896  | 127.94   | 127.97  | 98.93     | 98.89    | 99.86      | 99.89     | 99.50     | 97.36    | SHEP32 
22200   | unicode1000        | 54   | 22200  | 22200 | 50.00    | 50.00   | 1.000   | 1.000  | 0.4299   | 0.9198  | 127.94   | 127.98  | 98.93     | 98.89    | 99.86      | 99.89     | 99.50     | 97.17    | SHEP32 
22300   | unicode2000        | 24   | 22300  | 22300 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4438   | 0.9613  | 127.94   | 127.98  | 98.94     | 98.90    | 99.87      | 99.89     | 99.50     | 96.90    | SHEP32 
22400   | unicode300000      | 28   | 22400  | 22400 | 49.99    | 50.00   | 1.000   | 1.000  | 0.4603   | 0.9514  | 127.93   | 127.98  | 98.94     | 98.90    | 99.87      | 99.89     | 99.50     | 96.95    | SHEP32 
22500   | unicode5000        | 8    | 22500  | 22500 | 49.99    | 49.99   | 1.000   | 1.000  | 0.5293   | 0.8808  | 127.93   | 127.96  | 98.95     | 98.91    | 99.87      | 99.88     | 99.50     | 97.41    | SHEP32 
22600   | unicode100         | 49   | 22600  | 22600 | 49.99    | 49.99   | 1.000   | 1.000  | 0.5673   | 0.9397  | 127.93   | 127.97  | 98.95     | 98.91    | 99.87      | 99.88     | 99.50     | 97.04    | SHEP32 
22700   | unicode10000       | 86   | 22700  | 22700 | 49.99    | 49.99   | 1.000   | 1.000  | 0.6620   | 0.9432  | 127.94   | 127.96  | 98.95     | 98.91    | 99.86      | 99.88     | 99.50     | 97.09    | SHEP32 
22800   | unicode200000      | 59   | 22800  | 22800 | 49.99    | 49.99   | 1.000   | 1.000  | 0.7337   | 0.9920  | 127.94   | 127.96  | 98.95     | 98.91    | 99.87      | 99.88     | 99.50     | 96.85    | SHEP32 
22900   | A-Za-z             | 49   | 22900  | 22900 | 49.99    | 49.99   | 1.000   | 1.000  | 0.8088   | 0.8884  | 127.94   | 127.96  | 98.96     | 98.91    | 99.86      | 99.88     | 99.02     | 97.93    | SHEP32 
23000   | unicode40000       | 33   | 23000  | 23000 | 49.99    | 49.99   | 1.000   | 1.000  | 0.8099   | 0.9731  | 127.95   | 127.95  | 98.96     | 98.91    | 99.86      | 99.88     | 99.48     | 97.18    | SHEP32 
23100   | unicode5000        | 49   | 23100  | 23100 | 49.99    | 49.99   | 1.000   | 1.000  | 0.8720   | 0.9992  | 127.95   | 127.96  | 98.96     | 98.91    | 99.87      | 99.88     | 99.22     | 97.17    | SHEP32 
