iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
2600    | A-Z                | 91   | 2600   | 2600  | 49.96    | 49.97   | 1.000   | 1.000  | 0.8498   | 0.1715  | 127.89   | 128.26  | 96.83     | 96.79    | 99.70      | 99.55     | 98.30     | 98.57    | SHA256 
2700    | unicode300000      | 61   | 2700   | 2700  | 49.95    | 49.97   | 1.000   | 1.000  | 0.9247   | 0.1457  | 127.90   | 128.25  | 96.88     | 96.83    | 99.71      | 99.57     | 97.76     | 98.81    | SHA256 
2800    | unicode200000      | 46   | 2800   | 2800  | 49.95    | 49.97   | 1.000   | 1.000  | 0.7975   | 0.1744  | 127.90   | 128.24  | 96.95     | 96.88    | 99.70      | 99.57     | 98.69     | 98.33    | SHEP32 
2900    | unicode30000       | 27   | 2900   | 2900  | 49.95    | 49.97   | 1.000   | 1.000  | 0.8826   | 0.1332  | 127.89   | 128.17  | 96.99     | 96.91    | 99.67      | 99.56     | 98.23     | 98.45    | SHA256 
3000    | unicode10000       | 78   | 3000   | 3000  | 49.96    | 49.98   | 1.000   | 1.000  | 0.9449   | 0.1585  | 127.90   | 128.19  | 97.03     | 96.97    | 99.67      | 99.56     | 97.51     | 99.04    | SHA256 
3100    | a-zA-Z0-9          | 49   | 3100   | 3100  | 49.95    | 49.96   | 1.000   | 1.000  | 0.6757   | 0.1803  | 127.88   | 128.19  | 97.05     | 96.97    | 99.70      | 99.56     | 99.32     | 97.94    | SHEP32 
3200    | unicode50000       | 41   | 3200   | 3200  | 49.95    | 49.97   | 1.000   | 1.000  | 0.5487   | 0.1325  | 127.88   | 128.20  | 97.09     | 97.02    | 99.71      | 99.55     | 99.50     | 97.44    | SHEP32 
3300    | unicode100000      | 82   | 3300   | 3300  | 49.96    | 49.96   | 1.000   | 1.000  | 0.6163   | 0.1536  | 127.86   | 128.19  | 97.12     | 97.08    | 99.73      | 99.56     | 99.50     | 97.65    | SHEP32 
3400    | unicode1000        | 39   | 3400   | 3400  | 49.95    | 49.96   | 1.000   | 1.000  | 0.5766   | 0.1271  | 127.86   | 128.20  | 97.13     | 97.12    | 99.72      | 99.56     | 99.50     | 97.42    | SHEP32 
3500    | unicode500         | 62   | 3500   | 3500  | 49.95    | 49.95   | 1.000   | 1.000  | 0.8271   | 0.0904  | 127.86   | 128.20  | 97.14     | 97.18    | 99.76      | 99.56     | 98.94     | 97.77    | SHEP32 
3600    | unicode2000        | 70   | 3600   | 3600  | 49.95    | 49.94   | 1.000   | 1.000  | 0.9660   | 0.1475  | 127.88   | 128.13  | 97.16     | 97.22    | 99.73      | 99.57     | 97.35     | 99.10    | SHA256 
3700    | unicode500000      | 96   | 3700   | 3700  | 49.95    | 49.94   | 1.000   | 1.000  | 0.9878   | 0.1287  | 127.88   | 128.12  | 97.20     | 97.24    | 99.70      | 99.56     | 97.23     | 99.09    | SHA256 
3800    | A-Za-z             | 38   | 3800   | 3800  | 49.96    | 49.93   | 1.000   | 1.000  | 0.9913   | 0.2743  | 127.90   | 128.12  | 97.24     | 97.27    | 99.75      | 99.58     | 96.78     | 99.50    | SHA256 
3900    | A-Z                | 86   | 3900   | 3900  | 49.96    | 49.94   | 1.000   | 1.000  | 0.9177   | 0.1563  | 127.89   | 128.13  | 97.31     | 97.30    | 99.74      | 99.57     | 97.78     | 98.87    | SHA256 
4000    | unicode500         | 7    | 4000   | 4000  | 49.96    | 49.94   | 1.000   | 1.000  | 0.9254   | 0.1440  | 127.89   | 128.11  | 97.35     | 97.32    | 99.74      | 99.55     | 97.78     | 98.82    | SHA256 
4100    | A-Z                | 35   | 4100   | 4100  | 49.96    | 49.93   | 1.000   | 1.000  | 0.9001   | 0.1235  | 127.88   | 128.12  | 97.37     | 97.35    | 99.75      | 99.53     | 98.13     | 98.49    | SHA256 
4200    | unicode60000       | 29   | 4200   | 4200  | 49.97    | 49.95   | 1.000   | 1.000  | 0.9511   | 0.1953  | 127.91   | 128.12  | 97.38     | 97.40    | 99.75      | 99.57     | 97.31     | 99.34    | SHA256 
4300    | unicode2000        | 87   | 4300   | 4300  | 49.97    | 49.96   | 1.000   | 1.000  | 0.8694   | 0.1978  | 127.93   | 128.10  | 97.41     | 97.42    | 99.75      | 99.58     | 98.02     | 98.90    | SHA256 
4400    | unicode5000        | 19   | 4400   | 4400  | 49.96    | 49.96   | 1.000   | 1.000  | 0.8544   | 0.2438  | 127.89   | 128.11  | 97.45     | 97.45    | 99.74      | 99.61     | 97.95     | 99.11    | SHA256 
